country_code,label,is_violation,text,severity,detection_type,language,generation_strategy,adversarial_technique
ZA,base_hate_speech_harassment,true,"These farm attacks won't stop until every *k-word* is chased back to where they came from. They don't belong here, our land. #SouthAfrica",HIGH,hybrid,en_af,base_positive,
ZA,base_hate_speech_harassment,true,Ungazivumeli lezi zinyoka zangaphandle ukuthi zicekele phansi isizwe sakithi. Akubuyele emakhaya! (Don't let these foreign snakes destroy our nation. Let them go back home!),HIGH,hybrid,zu,base_positive,
ZA,base_hate_speech_harassment,true,That queer pastor from Cape Town needs to be publicly shamed. His church should know what kind of abomination he is. Let's find his details.,HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,"Die varkies wat ons land regeer, hulle is niks anders as korrupte diere nie. Hulle moet almal verwyder word! (The piglets that rule our country, they are nothing but corrupt animals. They must all be removed!)",HIGH,hybrid,af,base_positive,
ZA,base_hate_speech_harassment,true,"Ndimbone umntu ongunomakhwapheni eShoprite ekhala, ndathi yhuuuu kanti bayahamba abantu abanjengabo. (I saw a disabled person crying at Shoprite, and I thought wow, people like that actually get around.)",HIGH,hybrid,xh,base_positive,
ZA,base_hate_speech_harassment,true,Lezi zikhwele ezivela kwamanye amazwe zizalisa ijele lethu. Kumele zikhishwe zonke! (These foreigners from other countries are filling our prisons. They must all be removed!),HIGH,hybrid,zu,base_positive,
ZA,base_hate_speech_harassment,true,The only good thing about that 'transgender' nonsense is that it proves how mentally ill these people are. Keep them away from our kids.,HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,"A re ba qhelele ka thoko batho ba, ba senya setjhaba. (Let's cast these people aside, they are destroying the nation.)",HIGH,hybrid,st,base_positive,
ZA,base_hate_speech_harassment,true,I'm sick of these m*slim immigrants taking over our suburbs. Why can't they go back to their desert hellholes?,HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,"Daai ou tannies by die kerk, hulle moet net stilbly en ophou kla oor alles. Wat weet hulle van die wêreld? (Those old grannies at the church, they should just shut up and stop complaining about everything. What do they know about the world?)",HIGH,hybrid,af,base_positive,
ZA,base_hate_speech_harassment,true,"Laba abantu abacoshayo ngamanyala kumele sibathole ukuthi bahlala kuphi. Sizobashaya! (These people who are spreading filth, we must find out where they live. We will beat them!)",HIGH,hybrid,zu,base_positive,
ZA,base_hate_speech_harassment,true,The EFF leader is a baboon. His followers are just as clueless. They're ruining South Africa.,HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,"Kufuneka abantu abamnyama bahlale bodwa, abamhlophe babodwa. Yiyo loo nto eyiyo. (Black people should stay by themselves, white people by themselves. That's how it should be.)",HIGH,hybrid,xh,base_positive,
ZA,base_hate_speech_harassment,true,That Twitter account constantly attacking women in politics? We need to mass-report it and get it banned. Flood their mentions with hate. #MisogynistTakedown,HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,Le ntho ya banyalani ba batho ba bong bo fapaneng e a ntenya. Ke dibe feela. (This thing of same-sex couples annoys me. It's just sin.),HIGH,hybrid,st,base_positive,
ZA,base_hate_speech_harassment,true,Ek hoor daai s1ot van 'n politikus het weer nonsens gepraat. Sy moet haar bek hou. (I heard that s1ut of a politician spoke nonsense again. She should shut her mouth.),HIGH,hybrid,af,base_positive,
ZA,base_hate_speech_harassment,true,"The coloured community in Eldorado Park is always complaining. They're like parasites, never satisfied.",HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,"Kuthiwa bathwele abantu bakwa Venda, yingakho becebile. Bangamagqwirha nje. (It is said that Venda people use witchcraft, that's why they are rich. They are just witches.)",HIGH,hybrid,xh,base_positive,
ZA,base_hate_speech_harassment,true,All these foreign street vendors in Durban need to be removed. They're taking jobs from locals and making our city dirty.,HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,"Botswana people are just jealous of South Africa. They're poor and uneducated, nothing but bushmen.",HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,Nna ke bona batho ba ba nang le bokooa ba lokela ho dula malapeng. Ba a re kgathatsa. (I think people with disabilities should stay at home. They bother us.),HIGH,hybrid,st,base_positive,
ZA,base_hate_speech_harassment,true,"That old h@g trying to tell us what to do? She should be in a nursing home, not parliament.",HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,These white farmers are holding onto land they stole. They are parasites that need to be flushed out.,HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,Ngathi uNkulunkulu uzosishaya ngesifo uma siqhubeka nokwamukela izitabane esizweni sethu. (It's like God will strike us with disease if we continue to accept homosexuals in our nation.),HIGH,hybrid,zu,base_positive,
ZA,base_hate_speech_harassment,true,"Ek sê vir jou, die swart mense het nie die breins om 'n land te regeer nie. Hulle is net vir chaos. (I tell you, black people don't have the brains to rule a country. They are only for chaos.)",HIGH,hybrid,af,base_positive,
ZA,base_hate_speech_harassment,true,The people from Limpopo are so backward. Always with their muthi and superstitions. They're holding SA back.,HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,"Please, if anyone knows the address of that racist teacher who insulted our kids, DM me. We need to pay him a visit.",HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,Why do these Nigerians always come here to do drugs and scam people? Go back to your country!,HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,"Uyalapha lo gog' omkhulu, uhlala nje ethetha izinto ezingenasiphelo. (This old granny is crazy, she just keeps talking endless nonsense.)",HIGH,hybrid,xh,base_positive,
ZA,base_hate_speech_harassment,true,This #ANC government is full of fat cats who only care about themselves. They're eating our country alive.,HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,Kamehla re bona batho ba ba nang le ditlhoko tse kgethehileng ba etsa lerata. Ba lokela ho ba le sebaka sa bona. (We always see people with special needs making noise. They should have their own space.),HIGH,hybrid,st,base_positive,
ZA,base_hate_speech_harassment,true,Those 'woke' feminists in Joburg are just a bunch of loudmouths who hate men. They need to be put in their place.,HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,"Amazulu bayizinja ezilambile, bazodla noma yini. Abanalo ihlazo. (Zulus are hungry dogs, they will eat anything. They have no shame.)",HIGH,hybrid,zu,base_positive,
ZA,base_hate_speech_harassment,true,Why are there so many Indians in Lenasia? This used to be a proper neighbourhood. They are taking over!,HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,Die s!e_k mense in die gay parade moet net verdwyn. Dis 'n vloek vir die land. (The s!ck people in the gay parade must just disappear. It's a curse for the country.),HIGH,hybrid,af,base_positive,
ZA,base_hate_speech_harassment,true,"I can't believe that m@khulu is still working. She should be home with her grandchildren, not making decisions for us younger people.",HIGH,hybrid,en_xh,base_positive,
ZA,base_hate_speech_harassment,true,"Tsonga people are just lazy, that's why they are always poor. They expect everything to be given to them.",HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,Let's all send hate messages to @activist_X to make them delete their account. They're a disgrace to our community. #SilenceTheWoke,HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,Ba tswaka ditshaba ba senya setso sa rona. Ba lokela ho kgutlela morao! (Those who mix races are destroying our culture. They should go back!),HIGH,hybrid,st,base_positive,
ZA,base_hate_speech_harassment,true,The comments of that 'journalist' are a disease infecting our public discourse. We need to quarantine her.,HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,Vho Venda vha a nkhathusa nga maitele avho a vhuroi. Vha nga vha vhe vhathu vhothe vha fhasi ha mulandu wa vhunanga. (Venda people bother me with their witchcraft practices. They are all guilty of sorcery.),HIGH,hybrid,ve,base_positive,
ZA,base_hate_speech_harassment,true,I hope that f@ggot gets what's coming to him. He's an abomination walking around Gqeberha.,HIGH,hybrid,en,base_positive,
ZA,base_hate_speech_harassment,true,Waarom moet ons luister na hierdie ou fossiele wat niks van die moderne wêreld weet nie? Hulle is nutteloos. (Why should we listen to these old fossils who know nothing about the modern world? They are useless.),HIGH,hybrid,af,base_positive,
