text,label_name,source
كفو يا #الملك_سلمان #ملك_الحزم_والعزم قفلت على القطريين المنفذ 😂🔒 وتركتهم ينابحو بحوش قطر زي الكلاب 🐕 ويشربو حليب الحمير طرررررق 🐴 ويبوسو يد معلم الشاورما عندنا اوردغان 🐑😂 ويطبلو #للمستخبي_بالكهف عبدالملك الحوثي👰 هذا وهو فقط #قفل_المنفذ_🔒 خرو صرعى😂 كيف لو غير ذلك 😈,sa_blasphemy_anti_islam,external_dataset
والعرب يستوردون الفياجرا الروسيه ، اين المشكله ؟ والدواعش أعضاء في النادي النخاسي لبيع السبايا وتصديرها،،,base_csam,external_integration
على السنة النفير العام لقتال حكم ولاية السفيه بقم والنجف وزربلاء,base_violence_gore,external_integration
تاج راسكم كاظم الساهر,safe,external_integration
طفل خارجية لبنان,safe,external_integration
ولو تتسلحون ستصيرون اسرائيل وحق عليهم الهجوم ورميهم للبحر,base_hate_speech,external_integration
الي يبيع الكليجا لابس كمام 😷 من ريحة اديوسهن وريحة اباطهن المعفنه الله لايلومك #بايع_الكليجا,base_hate_speech,external_dataset
أسلوب فعال ومجدي جعل الجيوش تهرب من امام الدولة الاسلامية مذعورة الدولة الاسلامية الدولة الاسلامية الان دولة بمعنى الكلمة تقاتل الأعداء في الميدان وايضا في الاعلام وتنتصر عليهم فكريا وعسكريا,base_violence_gore,external_integration
"ويتوالي التطهير اللآهي تباعا, فالله سبحانه وتعالي يمهل ولا يهمل",safe,external_integration
شرموطه كبيره,sa_immorality_lgbtq,external_integration
اللهم اقوي تنظيم الدولة الاسلامية ضد الاكراد العملاء المرتزقة الذين لا عهد لهم و لا تاريخ!,base_violence_gore,external_integration
ان لم تستحي افعل ما شئت,safe,external_integration
القموا يا جمهور البلاستيك يا يهود يا عنصريين URL,sa_blasphemy_anti_islam,external_integration
All this talk about divine punishment for minor things... it just sounds like a way to control people through fear. Not love,sa_blasphemy_anti_islam,llm_generated
يتسكر باب وينفتح بداله ألف باب، تخسر شخص و الله يعوضك بأحسن منه، توكل على الله ولا تتحسف على شيء، كل شيء يتعوض الا نفسيتك و صحتك واللحظات اللي بحياتك، لا تضيّعها على شيء ما يسوى,safe,external_integration
اقول تعال الخليج نفتح طيزك نخليك مريض نفسي من كثر الفتح والمني الي بيدخل فيك ختفو عليكم ناس حسوده ، الخليج تاج ع روسكم ي دياثة العرب,base_csam,external_integration
الجمال هو أن تكون عظامك واضحة. لا تضعفي وتأكلي. حافظي على هذا الشعور بالجوع. #ProAna_goals,base_self_harm,llm_generated
@NicoleHajal @sawsanalshaer @LbciLebanon يخرب بيتك بتشجعي التظاهرات يا ارهابيه ... بشتكي عليكي عند ترامب,base_hate_speech,external_integration
الدم يتدفق، والألم يختفي. It's a beautiful release. كل جرح هو خطوة نحو السلام. #SelfHarmRelease #PeaceThroughPain,base_self_harm,llm_generated
