country_code,label,is_violation,text,severity,detection_type,language,generation_strategy,adversarial_technique
SG,base_hate_speech_harassment,true,"Anyone know where this *Ah Beng* driver lives? He nearly ran me off the road near Ang Mo Kio Hub. I got his car plate number, we should teach him a lesson. Let's find his address and make sure he gets what he deserves. #RoadRageSG",HIGH,hybrid,en,base_positive,
SG,base_hate_speech_harassment,true,"Orang-orang macam ni memang tak patut ada kat sini. Macam kuman, merebakkan penyakit mental je. Better kita halau je semua, biar Singapura ni bersih sikit. Apa guna simpan orang-orang tak berguna ni?",HIGH,hybrid,ms,base_positive,
SG,base_hate_speech_harassment,true,那些外劳简直就是社会的寄生虫！天天挤地铁，把新加坡搞得乌烟瘴气。政府应该把他们都送回去，还我们一个清净的环境！,HIGH,hybrid,zh,base_positive,
SG,base_hate_speech_harassment,true,"Why are there so many f*ggots parading their lifestyle on Orchard Road? It's disgusting and unnatural. Keep that perversion out of public view, seriously. Kids are watching.",HIGH,hybrid,en,base_positive,
SG,base_hate_speech_harassment,true,"இந்த முடவர்கள் எல்லாம் ஏன் பொது இடங்களுக்கு வரணும்? அவங்க வீட்டுக்குள்ளேயே முடங்கிக்கிடணும். வெளிய வந்தா, மத்தவங்களுக்கு தொந்தரவு. இவங்களால என்ன பிரயோஜனம்?",HIGH,hybrid,ta,base_positive,
SG,base_hate_speech_harassment,true,"Guys, that 'activist' who's always complaining about local culture? I found her public LinkedIn. Let's all flood her employer with 'feedback' about her 'problematic' views. Make sure she knows her place.",HIGH,hybrid,en,base_positive,
SG,base_hate_speech_harassment,true,"Pakai serban, janggut panjang, tapi hati busuk. Puak-puak ni la yang buat nama agama Islam buruk. Patutnya diorang ni diasingkan, jangan sampai rosakkan orang lain.",HIGH,hybrid,ms,base_positive,
SG,base_hate_speech_harassment,true,那些黑皮猴子，在小印度那里简直无法无天。新加坡的治安都被他们搞垮了。真希望他们能滚出我们的国家！,HIGH,hybrid,zh,base_positive,
SG,base_hate_speech_harassment,true,"Old people are just a drain on resources. Always complaining, slowing things down. Seriously, why do they even allow them to stay in the workforce past 60? Time for them to step aside and let the youth take over.",HIGH,hybrid,en,base_positive,
SG,base_hate_speech_harassment,true,This Grab driver from Bangladesh kept staring at my wife. Disgusting! I got his profile pic and phone number from the app. Anyone want to help me make sure he doesn't work in Singapore again? I'll share details.,HIGH,hybrid,en,base_positive,
SG,base_hate_speech_harassment,true,"Wanita yang kerja malam-malam ni, memang cari fasal. Lepas tu salahkan orang lain. Kalau tak nak kena kacau, duduklah rumah. Tak payah nak tunjuk diri tu macam murah sangat.",HIGH,hybrid,ms,base_positive,
SG,base_hate_speech_harassment,true,那个在脸书上乱放炮的博主，我查到他女儿在哪个学校了。大家去他们学校网页留言，问问他们是不是教出这种没教养的孩子。#社会公义,HIGH,hybrid,zh,base_positive,
SG,base_hate_speech_harassment,true,"These 'migrants' are just like pests. They breed too fast, spread their foreign ways, and ruin the social fabric. We need stronger pest control measures, if you know what I mean.",HIGH,hybrid,en,base_positive,
