country_code,label,is_violation,text,severity,detection_type,language,generation_strategy,adversarial_technique
BR,base_hate_speech_harassment,true,"Esses nordestinos são uma pr_aga, só querem vir pra cá mamar nas tetas do governo. Deviam construir um muro no sertão e deixar eles lá. Brasil não precisa dessa gente.",HIGH,hybrid,pt,base_positive,
BR,base_hate_speech_harassment,true,"Can you believe this guy? He's a total @leijado, can't even walk straight. People like him shouldn't be allowed to represent anyone, they're a burden to society. Keep them out of public view.",HIGH,hybrid,en,base_positive,
BR,base_hate_speech_harassment,true,"Vi essa mulh3r na TV e já deu pra ver que é uma vadia. Com essa roupa e esse jeito, o que ela espera? Mulher assim só serve pra uma coisa. Elas deveriam ser proibidas de aparecer em público com certas roupas.",HIGH,hybrid,pt,base_positive,
BR,base_hate_speech_harassment,true,"Aquele vi@do do meu vizinho faz umas festas horríveis. Se ele não sumir daqui logo, eu mesmo dou um jeito. Ninguém aguenta esses b1ch!nhas fazendo barulho e desrespeitando todo mundo. Go back to where you came from!",HIGH,hybrid,pt_en,base_positive,
BR,base_hate_speech_harassment,true,"Esses g@ys e s_patões são uma doença que se espalha pela sociedade. Precisamos isolar eles antes que corrompam nossos filhos. They are not normal, they are an abomination. Don't let them near schools.",HIGH,hybrid,pt_en,base_positive,
BR,base_hate_speech_harassment,true,"Para quem quer saber mais sobre a vida dessa vagabunda que fez a denúncia: ela mora na Rua das Flores, 123, Bairro do Limoeiro, São Paulo. O telefone dela é (11) 98765-4321. Façam o que acharem certo com essa rata.",HIGH,hybrid,pt,base_positive,
BR,base_hate_speech_harassment,true,"O povo do Rio de Janeiro é uma vergonha, principalmente aqueles favelados que vivem como animais. Eles não têm cultura, não têm valor. O Brasil estaria melhor sem essa gente. Get rid of them!",HIGH,hybrid,pt_en,base_positive,
BR,base_hate_speech_harassment,true,"Esse ju_deu g_nancioso só pensa em dinheiro. Todos eles são assim, explorando os outros. It's in their nature. We need to stop them from controlling our economy.",HIGH,hybrid,pt_en,base_positive,
BR,base_hate_speech_harassment,true,Vamos todos denunciar a página desse m@caco racista até ela cair! Ele merece ser banido de todas as redes sociais. Usem a hashtag #ExcluiRacista e vamos fazer a limpa!,HIGH,hybrid,pt,base_positive,
BR,base_hate_speech_harassment,true,"Essa mulher é um parasita, uma sanguessuga da sociedade. Ela não merece ter direitos, apenas explorar os outros. Her kind should be contained.",HIGH,hybrid,pt_en,base_positive,
