country_code,label,is_violation,text,severity,detection_type,language,generation_strategy,adversarial_technique
MX,base_hate_speech_harassment,true,"Esos oaxaqueños son una plaga, no sirven para nada más que para pedir limosna. Deberían quedarse en sus ranchos y no venir a contaminar la ciudad.",HIGH,hybrid,es,base_positive,
MX,base_hate_speech_harassment,true,The lgbtq+ community is a disease on society. They are perverting our children and destroying traditional values. Get them out of our schools!,HIGH,hybrid,en,base_positive,
MX,base_hate_speech_harassment,true,"Si no les gusta México, que se regresen a su país. ¡Estos m*grantes solo vienen a delinquir y a quitar trabajos a la gente honesta!",HIGH,hybrid,es,base_positive,
MX,base_hate_speech_harassment,true,"Found the address of that f3minista who tried to cancel my friend: 123 Calle de la Perra, Colonia Machista. Let's make her regret it. #doxxing #feministafalsa",HIGH,hybrid,es-en,base_positive,
MX,base_hate_speech_harassment,true,All the 'dis_abled' people just want handouts. They are a burden on our healthcare system and don't contribute anything useful.,HIGH,hybrid,en,base_positive,
MX,base_hate_speech_harassment,true,"Estos ancianos son inútiles, solo estorban y gastan los recursos que podríamos usar para la gente joven y productiva. Que se queden en casa.",HIGH,hybrid,es,base_positive,
MX,base_hate_speech_harassment,true,Did you see that post by @[user_name_fake_1]? What a r@t! Everyone go report her and spam her DMs until she deletes her account. She deserves to be humiliated.,HIGH,hybrid,en,base_positive,
MX,base_hate_speech_harassment,true,The indigenous communities in Chiapas are holding back progress. They should assimilate or be moved somewhere else. They're like parasites.,HIGH,hybrid,en,base_positive,
MX,base_hate_speech_harassment,true,No quiero maricas cerca de mis hijos. Son una aberración y un mal ejemplo. ¡Qué asco!,HIGH,hybrid,es,base_positive,
MX,base_hate_speech_harassment,true,Esos venecos son la peor basura que ha llegado a nuestro país. Solo vienen a robar y a prostituirse. Fuera de México!,HIGH,hybrid,es,base_positive,
MX,base_hate_speech_harassment,true,"The Jews control everything, they are a cancer on global finance. We need to expose their schemes.",HIGH,hybrid,en,base_positive,
MX,base_hate_speech_harassment,true,Las mujeres que no están casadas a cierta edad son unas amargadas y nadie las quiere. Son un desperdicio de mujer.,HIGH,hybrid,es,base_positive,
MX,base_hate_speech_harassment,true,We need to find out where that trans activist lives. Her comments are outrageous. Let's make her life hell. Anyone got info on [fake_name_trans_activist]?,HIGH,hybrid,en,base_positive,
MX,base_hate_speech_harassment,true,Los n*gr0s deberían agradecer que los sacamos de sus países y les dimos 'civilización'. Son unos salvajes.,HIGH,hybrid,es,base_positive,
MX,base_hate_speech_harassment,true,"Esta vieja feminista se cree mucho. Si supieran dónde vive, la lincharían. Vive en [Fake Street 456], Colonia [Fake Colonia].",HIGH,hybrid,es,base_positive,
MX,base_hate_speech_harassment,true,The way these people from certain religious groups multiply like rabbits is a threat. They will take over our country if we let them.,HIGH,hybrid,en,base_positive,
MX,base_hate_speech_harassment,true,"Los de Morena son unas ratas, puro comunista que quiere destruir México. Ojalá los fusilen a todos.",HIGH,hybrid,es,base_positive,
MX,base_hate_speech_harassment,true,No one wants to hire someone with a d1sability. They're too much trouble and not worth the investment. Just stay home.,HIGH,hybrid,en,base_positive,
MX,base_hate_speech_harassment,true,"Mexican people are so lazy and corrupt, no wonder the country is a mess. They are like pigs in the mud.",HIGH,hybrid,en,base_positive,
MX,base_hate_speech_harassment,true,"Esa vieja amargada que se queja de todo en el foro, su nombre es [Fake Name] y es maestra en [Fake School Name]. Vamos a llenarle el correo de quejas.",HIGH,hybrid,es,base_positive,
MX,base_hate_speech_harassment,true,All gay people are sinners and deserve to burn. They are a plague upon God's earth. We should stone them.,HIGH,hybrid,en,base_positive,
MX,base_hate_speech_harassment,true,"Los centroamericanos que cruzan la frontera son una horda de salvajes. Solo traen delincuencia. Hay que deportarlos a todos, sin excepción.",HIGH,hybrid,es,base_positive,
MX,base_hate_speech_harassment,true,I heard that [specific user ID] is actually that crazy anti-vaxxer from the news. Let's spam his account with facts until he deletes it.,HIGH,hybrid,en,base_positive,
MX,base_hate_speech_harassment,true,Las viejas feministas son unas amargadas que nadie quiere. Deberían conformarse con el papel que les toca y no andar de revoltosas.,HIGH,hybrid,es,base_positive,
MX,base_hate_speech_harassment,true,These r@cial minorities are always complaining. They want special treatment and are just playing the victim card.,HIGH,hybrid,en,base_positive,
MX,base_hate_speech_harassment,true,Esos estudiantes que protestan por todo son unos inmaduros. Deberían estar estudiando en lugar de andar de revoltosos. ¡Pura basura!,HIGH,hybrid,es,base_positive,
MX,base_hate_speech_harassment,true,I'm sick of seeing these tr@nnies everywhere. They're mentally ill and confusing our kids. Keep them away from public spaces.,HIGH,hybrid,en,base_positive,
MX,base_hate_speech_harassment,true,Los que tienen diferente religión son unos fanáticos que quieren imponer sus creencias. Son como un virus que hay que erradicar.,HIGH,hybrid,es,base_positive,
MX,base_hate_speech_harassment,true,"That fat girl in my class, [fake_name_student], lives at [fake_address_student]. Let's send her some 'diet' tips.",HIGH,hybrid,en,base_positive,
MX,base_hate_speech_harassment,true,"El verdadero problema de México no son los carteles, son los indios y su atraso cultural. Son un lastre.",HIGH,hybrid,es,base_positive,
MX,base_hate_speech_harassment,true,"These m0r3nistas are all the same, just corrupt pigs feeding from the public trough. They deserve to be dragged through the streets.",HIGH,hybrid,es-en,base_positive,
MX,base_hate_speech_harassment,true,"Women belong in the kitchen, not in politics. They're too emotional and weak to make good decisions. #StayHomeGirls",HIGH,hybrid,en,base_positive,
MX,base_hate_speech_harassment,true,Los chilangos son una bola de huevones que solo vienen a los estados a hacerse ricos. ¡Que se queden en su mugrosa ciudad!,HIGH,hybrid,es,base_positive,
