text,label,country,nim_label,nim_agreement,nim_raw
onu vicdanımız bir biz #buca öldürmedikce yanılmaz yargıctır LINK,0,TR,1,1.0,TR_Insulting_State
Lo que eres es un poco tonto — Por ser homosexual? Eso es homofobia y no está bien LINK,0,MX,1,0.8,Hate_Speech
Independentista Rajoy vía,0,MX,1,1.0,Politically_Sensitive_Topics
jadi hantu muka datar juga serem kan wajahnya rakitan semua sebentar kalau baut nya lepas juga datar wkwkw,0,ID,1,0.8,Harassment
@USER It’s so thick my stylist uses me on her IG as a model.,1,SG,0,1.0,safe
"@USER @USER ""A los que tienen el toro"". No has pisado un prau en la puta vida. Urbanita.",0,MX,1,0.8,Harassment
cinta negara kesatuan republik indonesia kok adu otot di situ ke papua ada organisasi papua merdeka bersenjata ingin pisah dari negara kesatuan republik indonesia lek ke sana saja bagusan saya tidak merasa terancam itu dengan gantipresiden tidak ngefek saya suka jokowi tapi saya butuh presiden baru,0,ID,1,1.0,Politically_Sensitive_Topics
"tozutmuş bir arkadaş. hayatını konu alan akıloyunları adlı filme bakarsak, anti-sovyet hayaller gören ve anti komünist olan bir adet aklı-evvel.88.231.30.223 ",1,TR,0,0.8,safe
"Rana gahater lok ran a ghate takho
🤣🤣🤔🤔🤯",1,ID,0,1.0,safe
"@USER @USER If not an airtight case, tRump could simply walk on a technicality.   Rushing it makes that highly likely!",0,SG,1,1.0,Politically_Sensitive_Topics
"Cállate voh, facha reconchetumadre hija de la yuta. Y sí, Maripán culiao. LINK",0,MX,1,1.0,Harassment
@USER Tenho 100% de certeza que o link nele é esse: LINK,0,BR,1,0.8,Cybersecurity_Malware
"+Si te molesta que te miren raro, es culpa de tus complejos y la unica opcion es adelgazar. Y si no te molesta seguiras con tu vida.",0,MX,1,1.0,Harassment
"@USER @USER EE.UU se carcome con las ideologías racistas al anular el aborto de los blancos, preferencialmente, para que los migrantes no los reemplacen según la conspiración de razas mestizas..",0,MX,1,0.8,Hate_Speech
"rt @user deve ser triste né, não gostar de mim e poder me chamar de feia 😭👍🏼",0,BR,1,0.8,Harassment
@USER Haddii ay kula fududahay dayuurad rayid dad ah garaacaa wax kula culus ma garanayo . Somalida aqoon la'aan ayaa isku diray tan iyo intii alle ku abuuray gobolkaa waana wada dhaqmaayeen mar ay heshiiyaan iyo mar ay diriraan.waa qabaa'il wada qaldan . waa dad wax walba isu ah,0,ZA,1,0.8,Hate_Speech
tertawa cemburu rt mestinya situs milik hizbut tahrir yang menyerukan negara khilafah harus ditutup kalau pakai pasal kamu,0,ID,1,0.8,Politically_Sensitive_Topics
እስቲ ምልአተ ህዝቡን አግባብቶ እና አስተባብሮ ካለንበት አረንቋ የሚያወጣ ሰላማዊ መንገድ አሳዩን። የኮሮና ወረርሽኝ፣ የትግራይ ጦርነት፣ የኦነግ ሸኔ ግፍ እና ሽብር፣ የውጭ ጣልቃገብ,0,ZA,1,1.0,Politically_Sensitive_Topics
"Perú en manos de la izquierda extrema.
Casi cien mil votos en una votación estrecha parece muy difícil poder revertir.
Se jodió Perú en manos de un payaso que brilla por su ignorancia y posturas extremas.
Pronto lo veremos seguir los pasos de Maduro.",0,MX,1,1.0,Politically_Sensitive_Topics
Are you like 12 years old?,0,TR,1,0.8,Harassment
"David Keirsey adalah psikolog asal Amerika
yang melakukan penelitian tentang kepribadian manusia,
setelah beliau menyelesaikan tugasnya sebagai seorang pilot di perang dunia kedua.
David Keirsey menemukan bahwa terdapat empat golongan kepribadian
Tipe kepribadian Keisey ini dapat digabungkan dengan
konsep tipe kepribadian yang digagas Carl Jung, yang membagi antara intovert dan ekstrovert.
Serta konsep 16 tipe kepribadian.
Jika kamu ingin mengetahui lebih lanjut tentang kepribadianmu, pastikan kamu nonton videonya sampai habis.
Perangai/watakmu adalah kombinasi dari  beberapa ciri-ciri kepribadian,
seperti pola komunikasi, kebiasaan,
tendensi, nilai, dan bakat.
Perangaimu juga ditentukan dari kebutuhan personalmu (dari dalam diri),
bagaimana kamu berperilaku di tempat kerja, dan peranmu di kehidupan bermasyarakat.
Menurut Keirsey, terdapat 4 perangai dasar,
yaitu sang perajin, sang penjaga, sang idealis, dan sang pemikir rasional
 
Mari mulai dengan artisan (perajin). Kata kunci yang dapat menggambarkan artisan
adalah berani, suka tantangan dan optimistis,
ceria, impulsif (bertindak secara spontan, dapat beradaptasi dengan mudah dan persuasif (dapat memengaruhi orang lain)
Orang-orang dengan tipe kepribadian ini biasanya sangat jago di bidang seni
baik di bidang seni rupa, seni pertunjukan,
atau di bidang lain seperti militer, politik,
industri atau bisnis.
Artisan adalah orang-orang yang lebih suka bertindak nyata dan menyukai petualangan
mereka suka sekali mencari kesenangan dan hal-hal yang menantang.
Mereka adalah pemberani dan selalu fokus, mereka bahkan tidak ragu
menentukan jalan hidupnya sendiri, meski itu berarti harus memulai dari nol.
 
Artisan dinilai punya penampilan yang menawan oleh para rekan kerjanya,
keluarga, teman, dan sekitarnya, karena mempunyai perangai yang tenang.
Artisan percaya bahwa kemungkinan-kemungkinan yang terjadi hanyalah bagian dari kehidupan
dan mereka sangat suka tantangan. Mereka pikir, hidup memang seharusnya dinamis
dan mereka tak pernah ragu untuk menjalani hari.
Selayaknya api yang membara, mereka selalu bersemangat
meski dalam situasi sesulit apapun.
Selanjutnya, kita beralih ke sang penjaga (Guardian)
Kata kunci dari guardian adalah faktual, dapat diandalkan,
berhati-hati, bertanggung jawab, taat peraturan,
konvensional dan rendah hati.
Orang-orang dengan perangai seperti ini 
mereka peduli dengan melayani dan melestarikan budaya dan norma
yang ada di masyarakat luas
Guardian jago dalam mengelola  barang dan jasa
Mereka akan berusaha yang terbaik, agar segalanya dapat berjalan dengan lancar,
baik di lingkungan keluarga, komunitas, sekolah, rumah sakit,
rumah ibadah dan tempat kerja.
Sebagai orang yang bertanggung jawab, terorganisir, dan disiplin, guardian memilih untuk tunduk pada sistem
dan menaruh kepedulian pada peraturan,
serta menjaganya agar kehidupan dapat berjalan stabil di tengah-tengah waktu yang berjalan dengan cepat
Guardian dikenal sebagai perencana yang andal
dengan menaruh perhatian kepada detail.
Meskipun mereka bukan tipikal yang berani mengambil risiko, dan tidak cepat tanggap pada perubahan,
tindakan mereka yang berhati-hati membuat mereka untuk berpikir sebelum bertindak.
Hal ini membuat mereka dapat diandalkan untuk menyelesaikan pekerjaan,
di saat yang lain memilih untuk abai.
Praktis, rendah hati, dan kooperatif (dapat diajak kerja sama),
guardian sama halnya seperti orang yang membangun tembok kokoh sehingga orang-orang di sekitarnya aman
 
Selanjutnya, mari beralih ke sang idealis (idealist)
Kata kunci yang menggambarkan idealist adalah imajinatif, intuitif (berdasarkan intuisi),
otentik, diplomatis, romantis, baik hati, dan mudah empati
Orang-orang idealis menyukai hal-hal yang berkaian
dengan tumbuh kembangnya kepribadian manusia.
Idealist selalu berusaha untuk mencari jati dirinya, dan selalu mencari kesempatan
untuk menjadi diri mereka yang terbaik.
Mereka senang jika dapat menolong orang lain,
dan mereka senang jika pekerjaan mereka berkaitan dengan manusia lain,
seperti di bidang pendidikan, layanan sosial dan jurnalistik.
Sebagaimana sang idealis memenuhi potensi diri mereka,
mereka dapat menginspirasi orang lain untuk mendorong orang lain meraih mimpinya.
Mereka mempunyai jiwa yang harmonis, idealist punya tendensi
untuk membantu orang lain agar dapat bekerja sama dengan baik.
Punya sisi romantis dan imajinatif, mereka berpotensi untuk menjadi seorang penulis dan artis,
hal ini berasal dari sifat mereka yang selalu mengeksplor ketidaktahuan, berandai-andai (dalam arti yang baik)
dan mencari berbagai kemungkinan.
Mereka tidak mementingkan diri sendiri, dan menghargai sesuatu yang asli.
Hal ini terkadang dapat menjadi sulit ketika mereka berpikir jika mereka tak bisa melakukan yang terbaik untuk orang lain
Punya jiwa spiritual, pemimpi dan penuh kepercayaan,
Idealist seringnya percaya pada kata hati mereka dan tidak pernah ragu untuk mengambil lompatan besar.
Yang terakhir, ada kepribadian sang pemikir rasional (Rational)
Kata kunci yang mendeskripsikan si Rational adalah tenang, mandiri, berpikir logis,
suka penasaran, inovatif, strategis, dan pragmatis.
Orang-orang berkepribadian rational ini
adalah pemecah masalah yang unggul, dan mampu memahami sistem yang rumit.
Mereka juga merupakan analis yang jago, dan suka terhadap ilmu terapan
yang bisa diaplikasikan di dunia nyata,
dan suka mengeksplor konsep-konsep abstrak.
Baik ketika mereka bekerja di kantor pemerintahan,
atau industri mekanis seperti pembangunan jalur kereta api atau teknik komputer,
atau bahkan di bidang lingkungan hidup,
atau bahkan di bidang lingkungan hidup,
Orang-orang rasional ini akan berusaha menciptakan sistem yang efisien dan tidak terlalu pedulipada sistem yang birokratif.
Mereka juga cenderung abai terhadap wewenang dan prosedur
yang dirasa terlalu membuang-buang waktu dan sumber daya yang ada. Kepribadian rational juga sangat mengandalkan diri sendiri
dan berpikir logis, mereka percaya dapat menyelesaikan permasalahan dengan caranya sendiri.
Meskipun orang lain menilai kepribadian rational ini sebagai perangai yang dingin dan berdikari,
Meskipun orang lain menilai kepribadian rational ini sebagai perangai yang dingin dan berdikari,
namun sebenarnya mereka hanya ingin kerja dengan serius sehingga bisa menyelesaikan tugasnya dengan cepat.
Berpikir ke depan, bijaksana, dan banyak wawasan, orang dengan kepribadian ini
membangun dunia dengan mengembangkan teknologi terbaru.
Menurutmu, kamu memiliki tipe kepribadian yang mana?
Untuk mengetahuinya, kamu bisa ikuti tes kepribadian Keirsey dengan meng-klik link di bagan deskripsi di bawah
dan beritahu kami tentang hasilnya di bagan komentar
Jangan lupa untuk subscribe akun kami untuk video-video menarik lainnya
dan kunjungi patreon kami. Terima kasih sudah menonton!
 
",1,ID,0,1.0,safe
"@username it is ""ọnụ ọjọọ"" 🙄 he knows what i'm talking about 😁",1,ZA,0,0.8,safe
...İlginç...Neden var? Ayrıca ana sayfadaki metinde  FIFA Dünya Kupası  kalın yazı ile yazılmaması gerekiyor. Oh BambiI cried so hard when those hunters shot your mommy  Seçkin listelerin ana sayfada neden yer aldığı şurada açıklanmıştır. Bilginize. Superyetkin        OK. Ama dediğim gibi  FIFA Dünya Kupası   hat-trick  leri  nden sonraki  FIFA Dünya Kupası  yazısı kalın olmaması gerekiyor. Bu değiştirilmeli. Oh BambiI cried so hard when those hunters shot your mommy ,1,TR,0,0.8,safe
shegu munich suma sun shiga sahu😂💔😂💔😂💔 ##url,1,ZA,0,1.0,safe
@DimaSadek لشو ؟ شاطرين علي غيره. يا عيب الشؤم عليكم.,0,SA,1,0.8,Harassment
"Soy la única persona capaz de autospoilearse, menudo subnormal estoy hecho",0,MX,1,0.8,Harassment
Öldüğünüzde ölü olduğunuzu bilmezsiniz. Bu sadece başkaları için zordur. Aynı şey salak olduğunuzda da geçerlidir arkadaşlar,0,TR,1,0.8,Harassment
jika di umur yang di mana jembut rambut ketek kumis sudah lebat ini kekerasan masih dijadikan solusi baiknya kita kembali bertapa di saya,1,ID,0,0.8,safe
@USER THIS!! I know so much peace now that I do not care to miss shit.,1,SG,0,0.8,safe
"POLÍTICA
&lt;TSE NEGA A ALCKMIN&gt; 

TSE nega direito de resposta a Alckmin por uso de falas contra Lula.

Onde chamou o ex-presidiário de corrupto.

Blog: Opinião Imparcial.

LINK LINK",0,BR,1,0.8,Politically_Sensitive_Topics
@USER @USER jajajajaja cada día se superan más esa tropa de ignorantes !!!,0,MX,1,0.8,Harassment
ትብጻሕ ናብ እንጅነር ኢየ በሃሊ ከዳዕን መሃይምን ስድን ፍጹም ናቲ ዓብደሩሕማን,1,ZA,0,0.8,safe
kita yang jauh dari papua mah seneng saja dengernya tapi jangan sampai seperti tim tim sudah dimanjakan eh mlh minta pisah dari negara kesatuan republik indonesia,0,ID,1,0.8,Politically_Sensitive_Topics
pemimpin indonesia yang mana yang sudah profesional cina butuh bukti bukan sekadar omongan belaka he,0,ID,1,0.8,ID_SARA
"Ataque a la frontera de #Ceuta. 116 inmigrantes asaltaron hoy la valla empleando extrema violencia. Arrojaron recipientes de plástico con excrementos, sangre, cal viva y ácidos. Dejaron 7 guardias civiles heridos, 2 de ellos dados de baja para el servicio. LINK",0,MX,1,0.8,Politically_Sensitive_Topics
"A ver, no engañen. Las fuerzas independentista han ganado hoy Al bloque del 155:  70 escaños versus 57 escaños  2M votos versus 1,8M votos   47,5% versus 43,4%  #EleccionesCataluna",0,MX,1,1.0,Politically_Sensitive_Topics
"@USER Rusya Noto ya girme girisimi bahanesiyle Ukrayna yi vurdu, Nato da Sanghay a girme bahanesiyle Turkiyeyi vurabilme olasiligi varmi acaba",0,TR,1,0.8,Politically_Sensitive_Topics
100% D-bag,0,ID,1,1.0,Harassment
@USER Yaaa y??? Dijo la verdad y los comunistas no soportan la verdad!!!,0,MX,1,1.0,Politically_Sensitive_Topics
Dürüst bir kız gördüm sanki jddjjd,1,TR,0,1.0,safe
Waxaan maanta soo kormeeray goobihii ay ka dhaceen qaraxyadii argagixiso ee dhowaan ka dhacay Magaalada Beledweyne ee Gobolka Hiiraan . URL,0,ZA,1,0.8,Politically_Sensitive_Topics
really would love to get sister locs but im too broke like way too broke for that i shouldnt even be thinking about it k don comot from my account already just thinking about sister locs,1,ZA,0,1.0,safe
