text,label,country
@USER If you don't get out of bed then I'll climb in and that will be awkward,Harassment,SG
@USER @USER Tienes mucha pinta tu de agricultora... Tienes mas pinta de cerda que de ganadera.,Harassment,MX
Sarah smoked!,safe,ID
onu vicdanımız bir biz #buca öldürmedikce yanılmaz yargıctır LINK,TR_Insulting_State,TR
@USER Çakma Atatürkçüler çakma milliyetçiler Chpkkya oy vermeye devam mi LINK,TR_Insulting_State,TR
"@USER @USER Cállate puta defiendes lo indefendible ese cabron nos entrego y gente decerebrada como tú igual lo apoya pendeja, anda y le lo coges pero asegúrate que te lleve a dominicana o a Oslo y barbados en el próximo diálogo mmgva",Harassment,MX
@user @user @user @user تقدر تطرد لو خنزير واحد من خنازير الميلشيات الايرانية التي عاثت في العراق فساد؟ طبعا .. لا ..,Hate_Speech,SA
Lo que eres es un poco tonto — Por ser homosexual? Eso es homofobia y no está bien LINK,Hate_Speech,MX
"As has been said ... ""KPMGupta-speak""?",safe,ID
@USER @USER oh no it's progressing 😔,safe,SG
I believe in House of CB more than I believe in myself,safe,SG
"desde cedo na rua resolvendo as coisas, só queria praiar ou pega um solzinho da laje mesmo",safe,BR
لو سردته لمنعته الجزيرة كعادتها وغيرها من المواقع والقنوات ولو تريد تعرف حجتهم فقرأ كتب الجهاد فهو أمر مجمع عليه في كل المذاهب ويورد حتى في كتاب البيوع في مسائل الشركة أحيانا كما في الروض المربع !.,Politically_Sensitive_Topics,SA
@USER QUE LINDO,safe,BR
@USER نوراااااا 🌹🌹<LF>وانتي طيبه يا نورا يا رب ميحرمنيش منك يا اجدع اخت يا رب,safe,SA
İnsanların arasında da yalnız hissedebillir insan,safe,TR
vitu kwa ground pale kisumu citi rollingonthefloorlaughingfacewithtearsofjoy   electionsk  elections  nairobicounti  kisumu  kenyadecides   ,safe,ZA
@berrynawal انت وحدة كذابة,Harassment,SA
@USER biri benim icin boyle amsalak hareketler yapsa ben ittirirdim onu zaten,Harassment,TR
@USER @USER Crazy Angry Nigerian,ZA_Xenophobia,ZA
Independentista Rajoy vía,Politically_Sensitive_Topics,MX
@USER Turkiye ekonomisi Suriyelilerin isgali baslamadan evvel 16. idi. Sanayi full kapasite calisiyordu. Ben muhendisim imalat sektorunun icindeyim. Suriyeliler gelmeden once calisan fabrikalar Suriyeliler gidince mi duracak? Ama bir gercek var emek somurusu hic bu kadar kotu olmamisti,Hate_Speech,TR
"Chegou o reforço.
Em breve a volta das lives! LINK",safe,BR
السيد جبران باسيل بعيداً عن أي تصنيفات سلبية واعتبارات سيئة لا تليق بي	,safe,SA
jadi hantu muka datar juga serem kan wajahnya rakitan semua sebentar kalau baut nya lepas juga datar wkwkw,Harassment,ID
@USER It’s so thick my stylist uses me on her IG as a model.,safe,SG
"@USER @USER ""A los que tienen el toro"". No has pisado un prau en la puta vida. Urbanita.",Harassment,MX
  == fuck you ==  fuck you   ,Harassment,TR
Modi Shah ko Ranga Billa bol rahi thi prostitute,Harassment,ID
porters ada ijinya mbak kalau mau masuk smpe sana harus ajukan dulu sebelumnya ke pihak angkasa pura secara tertulis dan resmi misal dia pimpinan perusahan setelah itu akan diberikan id volunter untuk masuk ke area tersebut,safe,ID
cinta negara kesatuan republik indonesia kok adu otot di situ ke papua ada organisasi papua merdeka bersenjata ingin pisah dari negara kesatuan republik indonesia lek ke sana saja bagusan saya tidak merasa terancam itu dengan gantipresiden tidak ngefek saya suka jokowi tapi saya butuh presiden baru,Politically_Sensitive_Topics,ID
so wetin i go use my data dey do as they don ban twitter unfortunate government,Politically_Sensitive_Topics,ZA
@USER When’s it gonna be on Apple Podcasts?,safe,SG
ใช่ค่ะเอาพม่าออกจากเมืองไทยให้หมดก่อนดีใหม โอ้ยตายอะไรก็กำลังดีขึ้นการงานกำลังดี ถ้าปิดเมืองอีกที คนในประเทศอดตายกันอีกแน่ๆๆ,Hate_Speech,TH
لا تنفع مع الدواعش سوى الحملات الصليبية عليهم ولا يفل الحديد الا الحديد ولكن للاسف الابرياء والفلابة والمساكين هم من يدفع الثمن ، فليرقدوا في سلام,Politically_Sensitive_Topics,SA
@USER It was so satisfying. It helped tickle my desire to see Jar-Jar Binks die,Harassment,SG
não sei quem é mais burro,Harassment,BR
money wey i dey save for new phone i gats use am buy new bed so i wont keep hurting my back na wa ooo,safe,ZA
@oswaki Miss @JollyMutesi arahanura urubyiruko arusaba kubyaza umusaruro amahirwe nk'aho ari yo ya nyuma,safe,ZA
"(لديه ثلاثة أبناء، وبنت واحدة):
إذن، (بنت) إعرابها مرفوع، كما أسلفت، ولكن ليس على أنها مبتدأ مؤخر، بل لأنها معطوفة على مبتدأ مؤخر، ألا وهو: (ثلاثة).
للأمانة العلمية، أقول.
وشكرا جزيلا، لكم.",safe,SA
"tozutmuş bir arkadaş. hayatını konu alan akıloyunları adlı filme bakarsak, anti-sovyet hayaller gören ve anti komünist olan bir adet aklı-evvel.88.231.30.223 ",safe,TR
@USER @USER @USER Vanya see You on battlefield… and will send you to hell.,Harassment,SG
"Rana gahater lok ran a ghate takho
🤣🤣🤔🤔🤯",safe,ID
ada orang nyinyir bertanya film thepoweroflove ada ganyang cina nya tidak perasan yang ada ganyang cina nya film kampanye ahokdjarot,ID_SARA,ID
@RemmyDerbass @DimaSadek بتاخدي العقل، الله يحميكي ويعطيكي العافية,safe,SA
"40px|alt=|link=Değişiklik yaptığınız bir sayfa (Şehzade Şehenşah) Vikipedi:Silinmeye aday sayfalar/Şehzade Şehenşah sayfasında silinmeye aday gösterildi. Bir fikir birliği oluşana dek tartışma sayfası açık kalacaktır. Tartışmaya herkesin katılımını bekliyoruz. Maddede düzenlemeler yapabilirsiniz, ancak sayfanın üst kısmındaki silinmeye adaylık etiketini çıkarmayın. Teşekkürler.     Nushirevan11         ☾★    ",safe,TR
Bir dahakine wd-40 öneririm sikip atamadığı zorluk yok LINK,Harassment,TR
@user corra patife. os hackers foram presos. a hora de vocês estão chegando corruptos bandidos,Harassment,BR
Happy last day of Summer!!! LINK,safe,SG
"@USER @USER If not an airtight case, tRump could simply walk on a technicality.   Rushing it makes that highly likely!",Politically_Sensitive_Topics,SG
@USER que te jodan subnormal. Follate a tu madre,Harassment,MX
Good morning tua :),safe,SG
mau sehat minum susu mau nikmat isap susu mau seksi rawat susu mau mulus mandi susu mau enak remas,Sexually_Explicit_Information,ID
@USER obbo Takele Uma dhugaa Haacaaluu obbolleessii ke nafxanyaa ajjeefama jawaar Muhammad obbolleessii ke ajaja nafxanyaan hidhame kolfa maltu si qaba . Oromoo baayee tokko abdii sirraa qaba ture.,Hate_Speech,ZA
"Sayın Talipakyuz19, Arsuz sayfasında inceleme bekleyen 1 değişiklik bulunuyor. Sizden rica etsem bu değişikliği inceleyip onaylar mısınız? Ek olarak giriş bölümünde Rakım parametresi 1 m olarak hatalı girilmiştir. Rakım parametresini 4 m olarak güncelleyebilir misiniz? Bu veri ilçenin doğru rakım bilgisidir. Ayrıca bakınız. Arsuz > Coğrafya bölümü tekrar teşekkür ederim. Saygılarımla. 178.241.159.17 ",safe,TR
"ainda bem que não tenho iphone, a bateria do meu dura o dia inteiro",safe,BR
Bihar me,safe,ID
"Cállate voh, facha reconchetumadre hija de la yuta. Y sí, Maripán culiao. LINK",Harassment,MX
ชั่วช้าไอ้พม่าเปรตนี้ กุบอกให้ยิงทุ่มเซียนิ คัยโลกสวยกุดา แม๋ม มัน,Hate_Speech,TH
"Se guía uno por los mas relevantes. Que no es el caso de este deportista, admirable si, pero no por eso acreedor de ser de los mas importantes del siglo. Esta es una sección general donde no se pueden poner todos los campeones del mundo de todas las especialidades, sería imposible por el tamaño que alcanzaría el artículo. Un saludo. Ensada ! ¿Digamelón? 19:04 18 jul 2008 (UTC)",safe,MX
Kaun Hai ye madarch*d dislikers,Harassment,ID
Merhaba. Vikipedi:Seçkin madde adayları/Ermenistan bayrağı oylamasını kapattım. Arşivleme işini de bildiğim kadarıyla yaptım. Eksik kalan bir şey varsa botunuza söyler misiniz? ) Teşekkürler. yabancım ,safe,TR
"People in segregated housing at the Venango County Jail reported to us about difficulties accessing the law library and grievance process. We brought this to the Warden, and services were available by our next visit. 

This is #HowWeHelp as PA's only #prisonmonitoring group. LINK",safe,SG
if phoebe doesn’t do side shows i will fight,Harassment,SG
"@USER Other people's problems and struggles sometimes become mine because they may project or drag me into it, but I have to remind myself that that is on them and it says nothing about my self-worth and value. It says nothing about how I should see myself. I see that now. Thank you.",safe,SG
cebi bingung kalau kyai sama naik nanti justru semua harus halal tidak boleh mengucapkan selamat natal minuman keras dimusnahkan kalau mau pilih pas gengsi pura pura takut khilafah bingung kan tertawa,ID_SARA,ID
"Thank you, again.",safe,ID
"olá, sou o felipe massa do brasil eu estou no 5º ano eu quero saber oq é meridiano de grewnuicht ou sei lá como se chama sei uma coisa em ingles que a professora que eu como todo dia ela é muito gostosa ela galopa bem no meu pal ela diz que eu sou um son of bicht Título da ligação",Harassment,BR
@USER Tenho 100% de certeza que o link nele é esse: LINK,Cybersecurity_Malware,BR
@USER @USER That’s an insult to clowns!! 🤡,Harassment,SG
O jogo do Sport vai ser que hrs finalmente,safe,BR
O kadar önemli birisi değilsin ki birisi bile değilsin amk,Harassment,TR
"+Si te molesta que te miren raro, es culpa de tus complejos y la unica opcion es adelgazar. Y si no te molesta seguiras con tu vida.",Harassment,MX
be like say you dey craze i send you work na because of you dem dey send me condolence message,Harassment,ZA
@USER aq gidin mağarada da yaşayın tam olsun,Harassment,TR
Pardon her şey biraz eğlenmek içindi,safe,TR
"""interahamwe zo ntizakora genocide ngo zinanirwe no kuyipfobya ariko please abahutu mutagize uruhare mu bwicanyi ndabinginze  dutekereze agahinda ,ubwoba,.....ubumuga abatutsi batewe  bazira uko bavutse""ibaruwa yanditswe na #akanaalice  👇 ##url ##url",Hate_Speech,ZA
ولكى لا يساعد شعوب سورية  للتحرر من الاستعمار الروسى وعميله الاسطد الصهيونى  يا فلسطينى بتهديد اردوغان يا من كان الروس امام  الدولة العثمانية  اقزام امامهم,Politically_Sensitive_Topics,SA
"@USER @USER EE.UU se carcome con las ideologías racistas al anular el aborto de los blancos, preferencialmente, para que los migrantes no los reemplacen según la conspiración de razas mestizas..",Hate_Speech,MX
Fire this guy NOW! LINK,Harassment,SG
lagi mana tidak di usir muslim itu haram makan babi lah dia bahkan menghalalkan babi apa tidak kafir tu namanya jarot tu sudah limit woi basi,ID_Blasphemy,ID
@USER @USER @USER @USER @USER @USER The northern oligarchy has been supressing news like years ago thru their censorship machine,Politically_Sensitive_Topics,ZA
jangan sering mentingin dia dan jangn sering ngehujat dia toh mau dia transgender atau wanita tulen pun gpa bukan urusan kita mau dia baik mau dia buruk kalau kita terus membuang wktu kita buat komentar kaya begini sama saja dong kita kaya dia karena tuhan menciptakan setiap orng berbeda jika dia tidak bisa mnjadi pria sekalipun gpa mau surga tuhan mau neraka tuhan bukan buat kita tapi buat dia kalau kita terus ngehujat sama dia sama saja kita menzolimi orang lain dengan katakata nya saya sih cuma ingetin saja buat mbak sabar saja orang yang menzolimi kita tuhan sudah sediakan porsi keadilan bagi mbak yang sabar,safe,ID
"Tomohon juga merupakan pusat pembelajaran agama Kristen dan Katolik. Ada tempat khusus untuk berdoa dan meditasi yang disebut Bukit Kasih, sebuah tempat suci yang indah dan tenang. #TomohonInternationalFlowerFestival\n\nNor'",safe,ID
"show me a typical yoruba gurl,and i'll show you a professional whore. point made.",Hate_Speech,ZA
"rt @user deve ser triste né, não gostar de mim e poder me chamar de feia 😭👍🏼",Harassment,BR
@USER Haddii ay kula fududahay dayuurad rayid dad ah garaacaa wax kula culus ma garanayo . Somalida aqoon la'aan ayaa isku diray tan iyo intii alle ku abuuray gobolkaa waana wada dhaqmaayeen mar ay heshiiyaan iyo mar ay diriraan.waa qabaa'il wada qaldan . waa dad wax walba isu ah,Hate_Speech,ZA
Gizli takilan azgın azmış sanal seks sikiş sikişmek boşalmak isteyen kız dul türbanlı bayan mesaj atsın azdım sikici,Sexually_Explicit_Information,TR
"#Minideath secondary roundup
Minideath X #266 is on sale at #Rarible for 0.5 ETH 
  LINK

#NFTcollectors #NFTcollector #NFTcommunity",safe,SG
@USER @USER @USER @USER @USER I feel like she’s trying to mock that one cute ticktocker that is deaf… like girl gtfo,Harassment,SG
الدور الخبيث للامارات بقيادة خلفان معروف للجميع مصر والامارات وجهان لعملة واحدة,Politically_Sensitive_Topics,SA
@USER @USER You’re welcome and thank you. Yes each day we are here is a precious gift.,safe,SG
alasan mengapa kita harus membicarakan khilafah oleh dari abdul wahid pada tangal maret m atau r,Politically_Sensitive_Topics,ID
tertawa cemburu rt mestinya situs milik hizbut tahrir yang menyerukan negara khilafah harus ditutup kalau pakai pasal kamu,Politically_Sensitive_Topics,ID
"pau no cu, me segue, eu sigo de volta, me da unf e eu dou unf em seguida pq eu nao sou obrigada nesse caralho",Harassment,BR
"bagidajiya part 4 episode 3 latest hausa novel - ismail sani  ##url  karku manta sa kuyi subscribe saraki tv a youtube domin wasu videos masu zuwa @ zaria, nigeria ##url",safe,ZA
@USER the kob has returned,safe,SG
aduh mbak siapa tahu alah kasih hidayah ke kartika lewat perantara habib jangan langsung negatif saja lebih baik doakan semoga istiqomah,safe,ID
