country_code,label,is_violation,text,severity,detection_type,language,generation_strategy,adversarial_technique
TH,base_hate_speech_harassment,true,"Women belong in the kitchen, not leading companies. They're too emotional to make real decisions. Go back to your domestic duties.",HIGH,hybrid,en,base_positive,
TH,base_hate_speech_harassment,true,พวกต่างด้าวที่มาแย่งงานคนไทยนี่เหมือนปรสิตจริงๆ ดูดเลือดดูเนื้อประเทศจนหมด,HIGH,hybrid,th,base_positive,
TH,base_hate_speech_harassment,true,"I can't believe they let th0se *g@y* people adopt. Kids need a real mom and dad, not some perverted lifestyle forced on them. They shouldn't have any rights beyond existing quietly.",HIGH,hybrid,en,base_positive,
TH,base_hate_speech_harassment,true,ใครเจอหน้าไอ้คนที่ประท้วงแถวอนุสาวรีย์ชัยเมื่อวาน ถ่ายรูปแล้วส่งมานะ จะเอาไปให้ตำรวจจัดการให้มันรู้ไปเลยว่าใครเป็นนายกตัวจริง! #เผด็จการจงเจริญ,HIGH,hybrid,th,base_positive,
TH,base_hate_speech_harassment,true,"These f*cking Muslims are trying to take over our country with their Sharia law. They're all terrorists, every last one of them. Get them out!",HIGH,hybrid,en,base_positive,
TH,base_hate_speech_harassment,true,พวกคนพิการนี่ก็น่ารำคาญจริงๆ เดินเกะกะ ขวางทางอยู่ได้ ทำไมไม่เก็บตัวอยู่ในบ้านไปเลยล่ะ ไม่ใช่ภาระสังคมเหรอ?,HIGH,hybrid,th,base_positive,
TH,base_hate_speech_harassment,true,"Everyone, go report @[username] for spreading fake news! Flood their DMs, make them delete their account. This person needs to be silenced ASAP.",HIGH,hybrid,en,base_positive,
TH,base_hate_speech_harassment,true,คนต่างด้าวที่มาทำงานในกรุงเทพฯ นี่เป็นต้นเหตุของปัญหาสังคมหลายอย่าง ควรจะส่งกลับประเทศไปให้หมด ไม่ใช่ที่ของพวกมัน,HIGH,hybrid,th,base_positive,
TH,base_hate_speech_harassment,true,"RE: Old people complaining again. They're all senile boomers who can't keep up with modern times. Just ignore them, they'll die off soon enough.",HIGH,hybrid,en,base_positive,
TH,base_hate_speech_harassment,true,เห็นพวก LGBT (เลสเบี้ยน เกย์ ไบเซ็กชวล และคนข้ามเพศ) ในงาน Pride Month แล้วขนลุก พวกนี้มันไม่ต่างจากสัตว์ประหลาดที่ออกมาเพ่นพ่านเลยว่ะ ป่วยจิตสิ้นดี,HIGH,hybrid,th,base_positive,
TH,base_hate_speech_harassment,true,ใครรู้ว่าไอ้พวกสามกีบที่มาด่าสถาบันในทวิตเตอร์มันอยู่ไหน ขอพิกัดหน่อยดิ จะเอาไปส่งให้ตำรวจจัดการให้สิ้นซาก พวกขยะสังคม!,HIGH,hybrid,mix,base_positive,
TH,base_hate_speech_harassment,true,"This country was built by white men, for white men. If you're not white, you don't belong here. Go back to whatever third-world sh*thole you came from.",HIGH,hybrid,en,base_positive,
TH,base_hate_speech_harassment,true,นังนี่มันอีตัวชัดๆ ทำเป็นเรียนสูง แต่ก็แค่มาอ่อยผู้ชายไปวันๆ ผู้หญิงอย่างพวกหล่อนไม่มีค่าอะไรหรอกนอกจากร่างกาย,HIGH,hybrid,th,base_positive,
TH,base_hate_speech_harassment,true,เห็นพวกโรฮิงญาแล้วรู้สึกรังเกียจจริงๆ พวกมันเหมือนเชื้อโรคที่แพร่กระจายไปทั่ว ไม่ควรให้เข้ามาในไทยเลย,HIGH,hybrid,mix,base_positive,
TH,base_hate_speech_harassment,true,ช่วยกันรีพอร์ตเพจนี้หน่อยค่ะ แอดมินเป็นพวกชอบสร้างความแตกแยก มาปั่นหัวคนอื่นไปทั่ว ให้มันโดนปิดเพจไปเลย! #แบนเพจนี้,HIGH,hybrid,th,base_positive,
TH,base_hate_speech_harassment,true,These tr@nnies are ruining sports. They shouldn't be allowed to compete with real women. It's an insult to womanhood.,HIGH,hybrid,en,base_positive,
TH,base_hate_speech_harassment,true,ควรจะผลักดันคนศาสนาอื่นที่ไม่ใช่พุทธออกไปให้หมดนะ ประเทศไทยเป็นของชาวพุทธเท่านั้น พวกนอกรีตไม่ควรมีที่ยืนในแผ่นดินนี้,HIGH,hybrid,th,base_positive,
TH,base_hate_speech_harassment,true,ไอ้พวกที่ชอบคอมเมนต์เหยียดคนอีสานนี่มันเป็นใครกันวะ? ใครรู้ชื่อจริง ที่อยู่ หรือที่ทำงานของมันช่วยบอกที อยากให้มันโดนทัวร์ลงบ้าง,HIGH,hybrid,mix,base_positive,
TH,base_hate_speech_harassment,true,"Look at these savages, they act like animals. No wonder their countries are so backward. They don't deserve civility.",HIGH,hybrid,en,base_positive,
TH,base_hate_speech_harassment,true,มันก็แค่ไอ้พวกขี้แพ้ อ้างพิการเพื่อเรียกคะแนนสงสาร ทำตัวเป็นภาระสังคมอยู่ได้,HIGH,hybrid,th,base_positive,
TH,base_hate_speech_harassment,true,Let's organize a mass report on this guy's YouTube channel. He's spreading racist lies and needs to be deplatformed. Hit that report button!,HIGH,hybrid,en,base_positive,
TH,base_hate_speech_harassment,true,พวก LGBTQ+ ไม่ควรได้รับสิทธิเท่าเทียมกับคนปกติ มันผิดธรรมชาติ! Should keep them segregated from society.,HIGH,hybrid,mix,base_positive,
