country_code,label,is_violation,text,severity,detection_type,language,generation_strategy,adversarial_technique
SA,base_hate_speech_harassment,true,"Those refugees coming into Jeddah are nothing but a burden, like an infestation spreading disease. They don't belong here. اطردهم كلهم!",HIGH,hybrid,ar-en,base_positive,
SA,base_hate_speech_harassment,true,"What kind of women are these driving around Riyadh? They should be home, not polluting our streets. كل وحدة منهم ناقصة عقل.",HIGH,hybrid,ar-en,base_positive,
SA,base_hate_speech_harassment,true,Heard about that new 'diversity' initiative at the company? It's just a way to push those L_G_B_T people on us. They're an abomination.,HIGH,hybrid,en,base_positive,
SA,base_hate_speech_harassment,true,"I saw some old man struggling to cross the road today. Honestly, these elderly people are just a drag on society. Why can't they stay home?",HIGH,hybrid,en,base_positive,
SA,base_hate_speech_harassment,true,"These foreign workers in Dammam are like cockroaches, multiplying and taking over everything. Time to sweep them out.",HIGH,hybrid,en,base_positive,
SA,base_hate_speech_harassment,true,This country needs to get rid of all these _immigrants_. They're just parasites feeding off our resources. #SaudiFirst,HIGH,hybrid,en,base_positive,
SA,base_hate_speech_harassment,true,You disabled people are always looking for handouts. Get a job like everyone else instead of being a burden. عالة على المجتمع.,HIGH,hybrid,ar-en,base_positive,
SA,base_hate_speech_harassment,true,That f*ggot needs to be taught a lesson. How dare he speak out about his lifestyle in public? Send him back to where he belongs.,HIGH,hybrid,en,base_positive,
SA,base_hate_speech_harassment,true,These women thinking they can do everything men can do are delusional. Go back to your kitchen! مكانك المطبخ يا حريم.,HIGH,hybrid,ar-en,base_positive,
SA,base_hate_speech_harassment,true,"All these foreigners crowding our cities like Mecca and Medina. They're not true Saudis, just taking up space. خليهم يرجعون لديرتهم.",HIGH,hybrid,ar-en,base_positive,
SA,base_hate_speech_harassment,true,"Remember that guy who posted negative things about our traditions? His name is [Name], and I heard he works at [Company] in Khobar. Maybe someone should pay him a visit?",HIGH,hybrid,en,base_positive,
SA,base_hate_speech_harassment,true,This woman keeps spreading her woke agenda. Her social media handle is @[username]. Let's all flood her DMs with real opinions. Make her delete her account.,HIGH,hybrid,en,base_positive,
SA,base_hate_speech_harassment,true,"If you see any posts from @[target_user] today, everyone report them for spam. We need to get this account taken down. They're a menace.",HIGH,hybrid,en,base_positive,
SA,base_hate_speech_harassment,true,I just found out where that _trans_ activist lives. It's [Street Name] in Riyadh. You know what to do.,HIGH,hybrid,en,base_positive,
SA,base_hate_speech_harassment,true,This 'journalist' is always criticizing our government. His full name is [Name Surname]. A quick search will show you his family's business. Time to hit him where it hurts.,HIGH,hybrid,en,base_positive,
